276 covert files
ok sub-47/nirs/sub-47_task-covert_run-01_recording-eyetracking_physio.tsv 6416434
ok sub-47/nirs/sub-47_task-covert_run-02_events.tsv 1012
ok sub-44/nirs/sub-44_task-covert_run-02_nirs.snirf 192358512
ok sub-47/nirs/sub-47_task-covert_run-02_nirs.json 388
ok sub-41/nirs/sub-41_task-covert_run-02_nirs.snirf 187918752
ok sub-46/nirs/sub-46_task-covert_run-02_nirs.snirf 178230992
ok sub-47/nirs/sub-47_task-covert_run-02_recording-eyetracking_physio.json 764
ok sub-44/nirs/sub-44_task-covert_run-01_nirs.snirf 182993792
ok sub-41/nirs/sub-41_task-covert_run-01_nirs.snirf 192389952
ok sub-47/nirs/sub-47_task-covert_run-02_recording-eyetracking_physio.tsv 5787559
ok sub-46/nirs/sub-46_task-covert_run-01_nirs.snirf 185812112
ok sub-47/nirs/sub-47_task-covert_run-01_nirs.snirf 207714672
ok sub-47/nirs/sub-47_task-covert_run-02_nirs.snirf 188762112
done: 276 ok, 0 failed
